timestamp,Open,High,Low,Close,Volume
2022-03-24,408.2,416.4,404.8,413.85,32082.26
2022-03-25,413.85,421.35,405.1,409.85,23595.61
2022-03-26,409.85,415.95,407.1,415.6,9399.53
2022-03-27,415.6,431.3,411.45,430.55,20299.86
2022-03-28,430.55,440.8,425.85,429.45,27941.32
2022-03-29,429.45,441.7,429.2,434.1,24352.31
2022-03-30,434.1,449.6,425.3,442.05,32076.63
2022-03-31,442.05,452.3,423.65,428.7,46315.64
2022-04-01,428.7,447.75,412.7,447.4,37675.56
2022-04-02,447.4,454.05,435.4,436.75,24229.33
2022-04-03,436.75,455.6,431.35,450.0,26112.88
2022-04-04,450.0,450.15,432.75,447.6,21323.89
2022-04-05,447.6,459.95,443.65,444.15,38521.62
2022-04-06,444.15,444.25,418.05,419.75,41131.84
2022-04-07,419.75,438.4,416.0,435.75,28446.12
2022-04-08,435.75,441.15,418.25,421.45,31705.71
2022-04-09,421.45,427.95,419.2,426.2,20047.42
2022-04-10,426.2,429.2,416.6,417.65,19959.83
2022-04-11,417.65,419.5,391.0,394.0,46311.18
2022-04-12,394.0,416.5,392.05,413.35,41449.23
2022-04-13,413.35,424.3,410.1,422.65,49071.39
2022-04-14,422.65,426.65,411.25,414.5,28089.82
2022-04-15,414.5,419.65,412.45,416.85,15798.22
2022-04-16,416.85,418.7,411.45,417.0,10967.53
2022-04-17,417.0,417.95,405.0,406.4,15512.24
2022-04-18,406.4,417.75,395.75,416.5,42966.75
2022-04-19,416.5,424.5,414.4,422.2,32257.46
2022-04-20,422.2,431.2,414.6,418.05,48933.87
2022-04-21,418.05,425.85,400.7,404.65,43182.07
2022-04-22,404.65,414.0,403.25,406.45,32796.44
2022-04-23,406.45,407.95,396.45,400.6,19653.96
2022-04-24,400.6,405.2,396.85,398.75,19063.33
2022-04-25,398.75,405.65,381.75,404.1,47152.61
2022-04-26,404.1,407.45,380.4,385.8,35301.18
2022-04-27,385.8,394.65,383.2,391.15,39066.67
2022-04-28,391.15,408.55,388.1,406.55,44878.71
2022-04-29,406.55,410.4,389.35,392.45,45084.68
2022-04-30,392.45,399.7,375.4,376.6,39106.82
2022-05-01,376.6,391.15,374.65,389.55,48779.44
2022-05-02,389.55,392.25,381.7,389.2,41739.79
2022-05-03,389.2,392.15,379.5,383.35,20335.57
2022-05-04,383.35,402.75,382.45,402.25,44025.46
2022-05-05,402.25,413.95,369.8,378.0,99184.86
2022-05-06,378.0,383.2,370.2,378.85,42415.79
2022-05-07,378.85,380.4,359.85,365.25,44098.97
2022-05-08,365.25,366.75,349.0,355.7,47446.16
2022-05-09,355.7,359.15,294.25,295.7,143682.25
2022-05-10,295.7,332.6,288.35,318.9,129574.89
2022-05-11,318.9,322.8,260.2,271.2,182577.73
2022-05-12,271.2,285.25,216.1,268.75,239694.67
2022-05-13,268.75,313.15,264.85,290.55,124984.56
2022-05-14,290.55,299.3,271.6,296.55,97685.5
2022-05-15,296.55,312.4,285.4,312.05,76189.29
2022-05-16,312.05,312.05,290.0,296.7,64670.73
2022-05-17,296.7,310.4,295.7,305.65,45462.79
2022-05-18,305.65,308.3,286.5,287.45,65083.54
2022-05-19,287.45,309.0,286.35,306.55,85423.3
2022-05-20,306.55,316.15,293.7,302.0,111895.69
2022-05-21,302.0,314.2,299.05,312.0,69621.42
2022-05-22,312.0,323.4,311.25,319.15,85185.97
2022-05-23,319.15,336.95,314.95,316.8,115193.64
